score,category,title,company,salary_min_usd_month,salary_max_usd_month,salary_known,location_raw,source,date_posted,url,reasons,risks,status
76,good,Cloud Automation Engineer at Juvare,,,,False,,jobscollider,2026-08-13,https://remotefirstjobs.com/companies/juvare/jobs/cloud-automation-engineer-847914,"title matches target role (automation engineer); strong profile similarity; remote; keywords: automation, zapier, n8n, claude, workflow, api",salary unknown; negative keyword: 7+ years,new
74,good,"Applied AI Engineer, Plugins",openai,,,False,San Francisco,ashby,2026-07-14,https://jobs.ashbyhq.com/openai/ca9e0aeb-6df1-4b73-8ec0-2e9e124712f1,"title matches target role (ai engineer); strong profile similarity; remote; keywords: openai, chatgpt, llm, workflow, api, webhook",salary unknown,new
72,good,"Applied AI Engineer, Enterprise",openai,,,False,São Paulo,ashby,2026-07-20,https://jobs.ashbyhq.com/openai/44d19f5f-a5da-4226-9d1a-0147604773eb,"title matches target role (ai engineer); strong profile similarity; remote; keywords: openai, workflow, api, integration",salary unknown,new
72,good,"Applied AI Engineer, Enterprise",openai,,,False,San Francisco,ashby,2026-07-08,https://jobs.ashbyhq.com/openai/01091aed-427d-4e10-8cdb-fb500cf55bb9,"title matches target role (ai engineer); strong profile similarity; remote; keywords: openai, workflow, api, integration",salary unknown,new
